title,company,location,date_of_posting,description,source_website,provenance,source_type,link,matched_search_term,remote_mode
(Senior) Talent Acquisition Manager – Tech,Career Site bei Lobster,Remote,2026-07-29,,arbeitnow,arbeitnow,api,https://www.arbeitnow.co.uk/jobs/companies/career-site-bei-lobster/remote-senior-talent-acquisition-manager-tech-435621,Talent Acquisition Specialist,remote
Junior Webentwickler (m/w/d) – Quereinsteiger willkommen,ATZ AG,"Dortmund, Nordrhein-Westfalen, Deutschland",2026-07-29,,arbeitnow,arbeitnow,api,https://www.arbeitnow.com/jobs/companies/atz-ag/junior-webentwickler-quereinsteiger-willkommen-dortmund-215250,Web Developer,
Senior/Staff Product Engineer (Full Stack) (m/f/d),epilot GmbH,Remote job,2026-07-29,,arbeitnow,arbeitnow,api,https://www.arbeitnow.com/jobs/companies/epilot-gmbh/remote-senior-staff-product-engineer-full-stack-koln-89000,Full Stack Developer,remote
Senior/Staff Product Engineer (Frontend) (m/f/d),epilot GmbH,Remote job,2026-07-29,,arbeitnow,arbeitnow,api,https://www.arbeitnow.com/jobs/companies/epilot-gmbh/remote-senior-staff-product-engineer-frontend-koln-102759,Frontend Developer,remote
Software Developer (m/w/d) - Java Backend,"PROMOS consult Projektmanagement, Organisation und Service GmbH","Berlin, BERLIN, DEUTSCHLAND",2026-07-27,,bundesagentur,bundesagentur,api,https://www.arbeitsagentur.de/jobsuche/jobdetail/13635-3457e935_JB5207410-S,software developer,
Senior Software Engineer (m/w/d) 40% Remote,EICS PD GmbH,"Berlin, BERLIN, DEUTSCHLAND",2026-07-21,,bundesagentur,bundesagentur,api,https://www.arbeitsagentur.de/jobsuche/jobdetail/14277-k24833.2878-S,Software Engineer,remote
Senior Full-Stack Developer (f/m/d) SAP CFS (Commercial Foundation Services),SAP,"Berlin, BERLIN, DEUTSCHLAND",2026-06-24,,bundesagentur,bundesagentur,api,https://www.arbeitsagentur.de/jobsuche/jobdetail/11070-1590766-1-S,Full Stack Developer,
"Senior Full Stack Developer (Python, Azure & AI) (w/m/d)",EY GmbH & Co. KG WPG,"Berlin, BERLIN, DEUTSCHLAND",2026-07-02,,bundesagentur,bundesagentur,api,https://www.arbeitsagentur.de/jobsuche/jobdetail/15548-1594230-1-S,Full Stack Developer,
Full Stack Software Developer E-Health (x/d/w/m),Doc Cirrus GmbH,"Berlin, BERLIN, DEUTSCHLAND",2026-07-07,,bundesagentur,bundesagentur,api,https://www.arbeitsagentur.de/jobsuche/jobdetail/13635-e64f82df_JB5191923-S,Full Stack Developer,
Full Stack Web Developer mit Architekturverantwortung (m/w/d),BITKOM e.V.,"Berlin, BERLIN, DEUTSCHLAND",2026-07-07,,bundesagentur,bundesagentur,api,https://www.arbeitsagentur.de/jobsuche/jobdetail/12908-063098559-S,Full Stack Developer,
Full Stack Developer - AI Team (f/m/d),think-cell,"Berlin, BERLIN, DEUTSCHLAND",2026-07-03,,bundesagentur,bundesagentur,api,https://www.arbeitsagentur.de/jobsuche/jobdetail/13644-307155-S,Full Stack Developer,
Quereinsteiger Physiker / Mathematiker als Software Engineer Data Analytics (mwd),HMS Analytical Software,"Berlin, BERLIN, DEUTSCHLAND",2026-07-03,,bundesagentur,bundesagentur,api,https://www.arbeitsagentur.de/jobsuche/jobdetail/13644-296843-S,Software Engineer,
Senior Software Engineer (all genders),Zalando SE,"Berlin, BERLIN, DEUTSCHLAND",2026-07-14,,bundesagentur,bundesagentur,api,https://www.arbeitsagentur.de/jobsuche/jobdetail/18251-31201-S,Software Engineer,
